"elections";"candidate";"list_name";"list_pos";"pref_votes";"elected";"nom_party";"pol_affil";"mayor";"dep_mayor";"board";"gov_support";"elig_voters";"ballots_cast"
"1994";"Grufík Vojtěch";"SNK 1";1;87;1;"NK";"BEZPP";NA;NA;NA;NA;234;193
"1994";"Hána Václav";"SNK 1";2;61;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Štýbnar Jaroslav";"SNK 1";3;74;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Hrubý Petr";"SNK 1";4;65;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Morávek Václav";"SNK 1";5;60;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Kováč Jindřich";"SNK 2";1;83;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Jirásek František";"SNK 2";2;68;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Starynský Ivan";"SNK 2";3;69;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Poner Karel";"SNK 2";4;66;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Havel Bohumil";"SNK 2";5;61;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Němeček Jindřich";"KSČM";1;44;0;"KSČM";"KSČM";NA;NA;NA;NA;NA;NA
"1994";"Fuglíček Jaroslav";"KSČM";2;43;0;"KSČM";"KSČM";NA;NA;NA;NA;NA;NA
"1994";"Vaníček Věroslav";"KSČM";3;48;1;"KSČM";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Rous Jaroslav";"KSČM";4;26;0;"KSČM";"KSČM";NA;NA;NA;NA;NA;NA
"1994";"Staník Josef";"KSČM";5;27;0;"KSČM";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Jirsík Igor";"Igor Jirsík, NK";1;43;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Němeček Jindřich";"KSČM";1;69;1;"KSČM";"KSČM";NA;NA;NA;NA;272;178
"1998";"Secký Josef";"KSČM";2;57;1;"KSČM";"KSČM";NA;NA;NA;NA;NA;NA
"1998";"Staník Josef";"KSČM";3;47;0;"KSČM";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Hušková Soňa";"KSČM";4;61;0;"KSČM";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Neumaier Václav";"KSČM";5;46;0;"KSČM";"KSČM";NA;NA;NA;NA;NA;NA
"1998";"Starynský Ivan";"SNK 1";1;72;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Vaníček Věroslav";"SNK 1";2;34;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Stejskal Walter";"SNK 1";3;36;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Dlouhý Jan";"SNK 1";4;37;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Vichrová Olga";"SNK 1";5;56;0;"NK";"ODS";NA;NA;NA;NA;NA;NA
"1998";"Havel Bohumil";"SNK 2";1;104;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Kováč Jindřich";"SNK 2";2;83;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Kavalír Bohuslav";"SNK 2";3;65;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Ponerová Gertruda";"SNK 2";4;40;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Hrubý Jaroslav";"SNK 2";5;49;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Jirásek František";"ČSSD";1;28;0;"ČSSD";"BEZPP";NA;NA;NA;NA;289;228
"2002";"Hušková Sonja";"ČSSD";2;21;0;"ČSSD";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Kostelecká Ladislava";"ČSSD";3;10;0;"ČSSD";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Stiborová Miroslava";"ČSSD";4;11;0;"ČSSD";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Jirásková Bohumila";"ČSSD";5;18;0;"ČSSD";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Stibor Rudolf";"ČSSD";6;12;0;"ČSSD";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Pacelt Karel";"ČSSD";7;11;0;"ČSSD";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Jirsík Igor";"Bublava pro obyvatele";1;108;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Vrtáček Jiří";"Bublava pro obyvatele";2;91;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Danko Roman";"Bublava pro obyvatele";3;84;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Jaroš Jiří";"Bublava pro obyvatele";4;80;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Stejskal Walter";"Bublava pro obyvatele";5;82;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Beneš Zdeněk";"Bublava pro obyvatele";6;66;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Morávková Jiřina";"Bublava pro obyvatele";7;73;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Kováč Jindřich";"Přátelství a Porozumění";1;38;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
