"elections";"candidate";"list_name";"list_pos";"pref_votes";"elected";"nom_party";"pol_affil";"mayor";"dep_mayor";"board";"gov_support";"elig_voters";"ballots_cast"
"1994";"Benešová Marta";"D92";1;987;1;"NK";"BEZPP";NA;NA;NA;NA;3345;2425
"1994";"Králík Miroslav";"D92";2;943;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Šabata Aleš";"D92";3;1056;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Prskavec Jan";"D92";4;818;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Hösl Robert";"D92";5;965;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Blažek Jaroslav";"D92";6;764;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Musil Milan";"D92";7;702;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Mazák Roman";"D92";8;692;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Cvrček Jiří";"D92";9;750;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Adamčík Ivan";"D92";10;982;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Mašatová Milada";"D92";11;897;1;"D92";"D92";NA;NA;NA;NA;NA;NA
"1994";"Lášek Milan";"D92";12;728;0;"D92";"D92";NA;NA;NA;NA;NA;NA
"1994";"Linhartová Hana";"D92";13;793;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Kořínek Jan";"D92";14;1162;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Steciv Petr";"D92";15;703;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Linhart Libor";"D92";16;619;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Kotek Petr";"D92";17;511;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Kovářík Jaroslav";"D92";18;359;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Chvojka Jiří";"D92";19;790;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Ottomanský Michal";"D92";20;698;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Abelová Marie";"D92";21;940;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Manda Alexandr";"KSČM";1;366;1;"KSČM";"KSČM";NA;NA;NA;NA;NA;NA
"1994";"Šebek Pavel";"KSČM";2;297;0;"KSČM";"KSČM";NA;NA;NA;NA;NA;NA
"1994";"Lorenc Čeněk";"KSČM";3;197;0;"KSČM";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Moučková Vladimíra";"KSČM";4;304;0;"KSČM";"BEZPP";NA;NA;NA;NA;NA;NA
