"elections";"candidate";"list_name";"list_pos";"pref_votes";"elected";"nom_party";"pol_affil";"mayor";"dep_mayor";"board";"gov_support";"elig_voters";"ballots_cast"
"1994";"Cserge Koloman";"SNK";1;50;1;"NK";"BEZPP";NA;NA;NA;NA;230;80
"1994";"Springl Martin";"SNK";2;38;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Forejtek Stanislav";"SNK";3;57;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Hettová Ivana";"SNK";4;37;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Lhotská Miluše";"Miluše Lhotská, NK";1;42;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Bráblík Richard";"ODS";1;42;1;"ODS";"ODS";NA;NA;NA;NA;NA;NA
"1998";"Zimmel Karel";"ČSSD";1;38;1;"ČSSD";"BEZPP";NA;NA;NA;NA;250;43
"1998";"Valevský Emil";"ČSSD";2;38;1;"ČSSD";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Zimmelová Zdeňka";"ČSSD";3;34;1;"ČSSD";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Voráčková Dana";"ČSSD";4;36;1;"ČSSD";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Godla Ján";"ČSSD";5;36;1;"ČSSD";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Cífková Renata";"ČSSD";6;36;1;"ČSSD";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Szabo Štefan";"ČSSD";7;35;1;"ČSSD";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Dubec František";"ČSSD";1;125;1;"ČSSD";"BEZPP";1;NA;NA;1;266;160
"2002";"Forejtek Stanislav";"ČSSD";2;78;1;"ČSSD";"BEZPP";NA;NA;NA;1;NA;NA
"2002";"Fischerová Renata";"ČSSD";3;84;1;"ČSSD";"ČSSD";NA;NA;NA;1;NA;NA
