"elections";"candidate";"list_name";"list_pos";"pref_votes";"elected";"nom_party";"pol_affil";"mayor";"dep_mayor";"board";"gov_support";"elig_voters";"ballots_cast"
"1993";"Lipman Rudolf (1)";"SNK";1;33;1;"NK";"BEZPP";0;0;0;1;44;36
"1993";"Stejskalová Božena";"SNK";2;33;1;"NK";"BEZPP";1;0;0;1;NA;NA
"1993";"Malík Ivo";"SNK";3;32;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1993";"Bechyně Ivo";"SNK";4;31;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1993";"Prchal Jaroslav";"SNK";5;31;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1993";"Šikýř Miloslav";"SNK";6;31;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1993";"Šustr Václav";"SNK";7;31;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1993";"Sakaloš Josef";"SNK";8;30;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1993";"Šafránková Marie";"SNK";9;29;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1994";"Stejskalová Božena";"SNK";1;39;1;"NK";"BEZPP";1;0;0;1;57;51
"1994";"Sakaloš Josef";"SNK";2;34;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1994";"Lipman Rudolf (1)";"SNK";3;40;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1994";"Bechyně Ivo";"SNK";4;36;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1994";"Fuksa Milan";"SNK";5;34;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1994";"Kunert Waldemar";"SNK";6;45;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1994";"Obešlo Jaroslav";"SNK";7;44;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1998";"Rezek Karel";"Za veselejší Doubici";1;31;1;"NK";"BEZPP";0;0;0;1;65;53
"1998";"Obešlo Jaroslav";"Za veselejší Doubici";2;18;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1998";"Rezek Petr";"Za veselejší Doubici";3;11;0;"NK";"BEZPP";0;0;0;0;NA;NA
"1998";"Lipman Rudolf (2)";"Za veselejší Doubici";4;12;0;"NK";"BEZPP";0;0;0;0;NA;NA
"1998";"Zieglerová Jana";"Za veselejší Doubici";5;16;0;"NK";"BEZPP";0;0;0;0;NA;NA
"1998";"Sirovátka Roman";"Za obnovu důvěry občanů";1;11;0;"NK";"BEZPP";0;0;0;0;NA;NA
"1998";"Kleinhampl Tomáš";"Za obnovu důvěry občanů";2;9;0;"NK";"BEZPP";0;0;0;0;NA;NA
"1998";"Stejskalová Božena";"Za obec krásnější";1;40;1;"NK";"BEZPP";1;0;0;1;NA;NA
"1998";"Sakaloš Josef";"Za obec krásnější";2;17;0;"NK";"BEZPP";0;0;0;0;NA;NA
"1998";"Lipman Rudolf (1)";"Za obec krásnější";3;19;0;"NK";"BEZPP";0;0;0;0;NA;NA
"1998";"Bechyně Ivo";"Za obec krásnější";4;34;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1998";"Kunert Waldemar";"Za obec krásnější";5;43;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2002";"Stejskalová Božena";"Doubice 2006";1;33;1;"NK";"BEZPP";1;0;0;1;70;56
"2002";"Himmer Miloslav";"Doubice 2006";2;40;1;"NK";"BEZPP";1;1;0;0;NA;NA
"2002";"Rezek Karel";"Doubice 2006";3;42;1;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Fuksová Jana";"Doubice 2006";4;46;1;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Obešlo Jaroslav";"Doubice 2006";5;29;1;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Jašíčková Alena";"Doubice 2006";6;31;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2002";"Vachalec Tomáš";"Doubice 2006";7;31;1;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Kleinhamplová Růžena";"Doubice 2006";8;17;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Lipman Rudolf (2)";"Doubice 2006";9;30;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Rezek Karel";"Pro Doubici";1;24;1;"NK";"BEZPP";0;0;0;1;94;83
"2006";"Vachalec Tomáš";"Pro Doubici";2;12;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Volmuth Václav";"Pro Doubici";3;13;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Obešlo Jaroslav";"Pro Doubici";4;16;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Lipman Rudolf (2)";"Pro Doubici";5;15;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Vaněk Václav";"Pro Doubici";6;10;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Rezek David";"Pro Doubici";7;10;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Himmer Miloslav";"Doubice 2010";1;43;1;"NK";"BEZPP";1;0;0;1;NA;NA
"2006";"Hamáček Jiří";"Doubice 2010";2;39;1;"NK";"BEZPP";0;1;0;1;NA;NA
"2006";"Schulz Martin";"Doubice 2010";3;38;1;"NK";"BEZPP";0;1;0;1;NA;NA
"2006";"Hladký Milan";"Doubice 2010";4;35;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Müller Michal";"Doubice 2010";5;34;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Lipmanová Ivona";"Doubice 2010";6;31;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Černý Jiří";"Doubice 2010";7;31;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Faix Stanislav";"Doubice normální";1;32;1;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Šikýřová Anna";"Doubice normální";2;32;1;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Jemelka Břetislav";"Doubice normální";3;36;1;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Jašíčková Alena";"Doubice normální";4;32;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Kleinhamplová Růžena";"Doubice normální";5;30;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Pitner Miloslav";"Doubice normální";6;29;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Beckelová Marcela";"Doubice normální";7;27;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Ivanová Jana";"Doubice normální";8;0;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Kunertová Lydia";"Doubice normální";9;1;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Schulz Martin";"Doubice 2010";1;35;1;"NK";"BEZPP";1;0;0;1;94;81
"2007";"Bubík Lešek";"Doubice 2010";2;27;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Hladký Milan";"Doubice 2010";3;23;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Sieber Marek";"Doubice 2010";4;16;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Hamáček Jiří";"Doubice 2010";5;38;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2007";"Müller Michal";"Doubice 2010";6;15;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Černý Jiří";"Doubice 2010";7;14;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Himmer Miloslav";"NK, Himmer Miloslav";1;23;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Faix Stanislav";"Doubice normální";1;37;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2007";"Šikýřová Anna";"Doubice normální";2;32;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Jemelka Břetislav";"Doubice normální";3;39;1;"NK";"BEZPP";0;1;0;1;NA;NA
"2007";"Čapek Miloslav";"Doubice normální";4;33;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Jašíčková Alena";"Doubice normální";5;34;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2007";"Pitner Miloslav";"Doubice normální";6;32;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Beckelová Marcela";"Doubice normální";7;36;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2007";"Ivanová Jana";"Doubice normální";8;0;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Rezek Karel";"Pro Doubici";1;26;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2007";"Kleinhampl Tomáš";"Pro Doubici";2;18;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Lipmanová Ivona";"Pro Doubici";3;9;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Obešlo Jaroslav";"Pro Doubici";4;6;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Lipman Rudolf (2)";"Pro Doubici";5;4;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Vaněk Václav";"Pro Doubici";6;2;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2007";"Rezek David";"Pro Doubici";7;4;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Schulz Martin";"Doubice 2014";1;55;1;"NK";"BEZPP";1;0;0;1;88;63
"2010";"Jemelka Břetislav";"Doubice 2014";2;60;1;"NK";"BEZPP";0;1;0;1;NA;NA
"2010";"Čapek Miloslav";"Doubice 2014";3;43;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2010";"Beckelová Marcela";"Doubice 2014";4;42;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2010";"Drozd Jan";"Doubice 2014";5;55;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2010";"Molčan Filip";"Doubice 2014";6;38;1;"NK";"BEZPP";0;0;0;1;NA;NA
