"elections";"candidate";"list_name";"list_pos";"pref_votes";"elected";"nom_party";"pol_affil";"mayor";"dep_mayor";"board";"gov_support";"elig_voters";"ballots_cast"
"1994";"Horák Jiří";"KSČM";1;338;1;"NK";"BEZPP";0;NA;NA;NA;1308;956
"1994";"Popelka Ladislav";"KSČM";2;225;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1994";"Abelová Jana";"KSČM";3;234;1;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Jirásková Marie";"KSČM";4;154;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1994";"Simmer František";"KSČM";5;242;1;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Kozák Václav";"KSČM";6;138;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1994";"Nosková Milena";"KSČM";7;142;0;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Hejl Václav";"KSČM";8;120;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1994";"Prášková Naděžda";"KSČM";9;187;0;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Horáková Milada";"KSČM";10;127;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1994";"Kulhánková Vlasta";"KSČM";11;104;0;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Kabelová Josefa";"KSČM";12;132;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1994";"Arnoštová Miloslava";"KSČM";13;112;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1994";"Kaslová Vlasta";"KSČM";14;114;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1994";"Valeš Ladislav";"KSČM";15;121;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1994";"Kášek Václav";"KDU-ČSL, ODA";1;580;1;"ODA";"ODA";1;NA;NA;1;NA;NA
"1994";"Šenová Eva";"KDU-ČSL, ODA";2;668;1;"KDU-ČSL";"KDU-ČSL";0;NA;NA;1;NA;NA
"1994";"Sadílek Zdeněk (1)";"KDU-ČSL, ODA";3;567;1;"ODA";"BEZPP";0;NA;NA;1;NA;NA
"1994";"Stárová Věra";"KDU-ČSL, ODA";4;572;1;"ODA";"BEZPP";0;NA;NA;1;NA;NA
"1994";"Čacký Antonín";"KDU-ČSL, ODA";5;603;1;"NK";"BEZPP";0;NA;NA;1;NA;NA
"1994";"Kovandová Jiřina";"KDU-ČSL, ODA";6;462;1;"ODA";"ODA";0;NA;NA;1;NA;NA
"1994";"Polák Jaroslav";"KDU-ČSL, ODA";7;530;1;"KDU-ČSL";"KDU-ČSL";0;NA;NA;1;NA;NA
"1994";"Babka Zdeněk";"KDU-ČSL, ODA";8;606;1;"NK";"BEZPP";0;NA;NA;1;NA;NA
"1994";"Sedlák Karel";"KDU-ČSL, ODA";9;506;1;"ODA";"ODA";0;NA;NA;1;NA;NA
"1994";"Kratochvíl Pavel";"KDU-ČSL, ODA";10;519;0;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Fiala Miloslav";"KDU-ČSL, ODA";11;533;0;"ODA";"ODA";0;NA;NA;NA;NA;NA
"1994";"Svoboda Vlastimil";"KDU-ČSL, ODA";12;499;0;"KDU-ČSL";"KDU-ČSL";0;NA;NA;NA;NA;NA
"1994";"Duchácký Jiří";"KDU-ČSL, ODA";13;425;0;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Voborský Martin";"KDU-ČSL, ODA";14;510;0;"ODA";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Vranská Anna";"KDU-ČSL, ODA";15;451;0;"ODA";"ODA";0;NA;NA;NA;NA;NA
"1994";"Karhan František";"ODS";1;312;1;"ODS";"ODS";0;NA;NA;NA;NA;NA
"1994";"Blažek Ladislav";"ODS";2;128;0;"ODS";"ODS";0;NA;NA;NA;NA;NA
"1994";"Procházka Miloš";"ODS";3;226;0;"ODS";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Altmann Vlastimil";"ODS";4;221;0;"ODS";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Formandl Ivan";"ODS";5;194;0;"ODS";"ODS";0;NA;NA;NA;NA;NA
"1994";"Brejník Jiří";"ODS";6;290;1;"ODS";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Horák Milan";"ODS";7;242;0;"ODS";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Šafařík Roman";"ODS";8;195;0;"ODS";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Svoboda Ctirad";"ODS";9;123;0;"ODS";"ODS";0;NA;NA;NA;NA;NA
"1994";"Blažková Věra";"ODS";10;91;0;"ODS";"ODS";0;NA;NA;NA;NA;NA
"1994";"Runštuk Roman";"ODS";11;127;0;"ODS";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Kabele Karel";"ODS";12;254;1;"ODS";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Fatka Jaroslav";"ODS";13;147;0;"ODS";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Slaboch František";"ODS";14;119;0;"ODS";"BEZPP";0;NA;NA;NA;NA;NA
"1994";"Vostoupalová Marcela";"ODS";15;140;0;"ODS";"ODS";0;NA;NA;NA;NA;NA
"1998";"Džunev Mario";"NK, Mario Džunev";1;191;0;"NK";"BEZPP";0;NA;NA;NA;1440;888
"1998";"Šenová Eva";"KDU-ČSL, DEU";1;517;1;"KDU-ČSL";"KDU-ČSL";0;NA;NA;NA;NA;NA
"1998";"Svoboda Vlastimil";"KDU-ČSL, DEU";2;184;1;"KDU-ČSL";"KDU-ČSL";0;NA;NA;NA;NA;NA
"1998";"Polák Jaroslav";"KDU-ČSL, DEU";3;291;1;"KDU-ČSL";"KDU-ČSL";0;NA;NA;NA;NA;NA
"1998";"Bláha Jindřich";"KDU-ČSL, DEU";4;124;0;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1998";"Dvořák Pavel";"KDU-ČSL, DEU";5;120;0;"DEU";"DEU";0;NA;NA;NA;NA;NA
"1998";"Poustka Pavel";"KDU-ČSL, DEU";6;110;0;"KDU-ČSL";"KDU-ČSL";0;NA;NA;NA;NA;NA
"1998";"Mikulka Jan";"KDU-ČSL, DEU";7;190;0;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1998";"Kalinová Zuzana";"KDU-ČSL, DEU";8;143;0;"DEU";"BEZPP";0;NA;NA;NA;NA;NA
"1998";"Vodolan Jaroslav";"KDU-ČSL, DEU";9;98;0;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1998";"Voborský Martin";"KDU-ČSL, DEU";10;159;0;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1998";"Bukačová Dana";"KDU-ČSL, DEU";11;180;0;"KDU-ČSL";"BEZPP";0;NA;NA;NA;NA;NA
"1998";"Grosseová Elzbieta";"KDU-ČSL, DEU";12;100;0;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1998";"Hanáková Ludmila";"KDU-ČSL, DEU";13;161;0;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1998";"Jiruška Jiří";"KDU-ČSL, DEU";14;168;0;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1998";"Sechovská Hana";"KDU-ČSL, DEU";15;193;0;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1998";"Popelka Ladislav";"KSČM";1;170;1;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1998";"Pilchová Jana";"KSČM";2;113;0;"KSČM";"BEZPP";0;NA;NA;NA;NA;NA
"1998";"Nejtek Jaroslav";"KSČM";3;80;0;"KSČM";"BEZPP";0;NA;NA;NA;NA;NA
"1998";"Buzek Václav";"KSČM";4;110;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1998";"Prášková Naděžda";"KSČM";5;98;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1998";"Simmer František";"KSČM";6;109;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1998";"Kulhánková Vlasta";"KSČM";7;77;0;"KSČM";"BEZPP";0;NA;NA;NA;NA;NA
"1998";"Runštuk Oldřich";"KSČM";8;109;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1998";"Jirásková Marie";"KSČM";9;104;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1998";"Hejl Václav";"KSČM";10;67;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1998";"Horáková Milada";"KSČM";11;72;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1998";"Kozák Václav";"KSČM";12;74;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1998";"Arnoštová Miloslava";"KSČM";13;60;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1998";"Abelová Jana";"KSČM";14;175;1;"KSČM";"BEZPP";0;NA;NA;NA;NA;NA
"1998";"Valeš Ladislav";"KSČM";15;54;0;"KSČM";"KSČM";0;NA;NA;NA;NA;NA
"1998";"Kášek Václav";"ODA";1;618;1;"ODA";"ODA";1;NA;NA;1;NA;NA
"1998";"Sadílek Zdeněk (1)";"ODA";2;390;1;"NK";"BEZPP";0;NA;NA;1;NA;NA
"1998";"Babka Zdeněk";"ODA";3;406;1;"ODA";"ODA";0;NA;NA;1;NA;NA
"1998";"Čacký Antonín";"ODA";4;348;1;"NK";"BEZPP";0;NA;NA;1;NA;NA
"1998";"Forst Jan";"ODA";5;280;1;"NK";"BEZPP";0;NA;NA;1;NA;NA
"1998";"Fiala Miloslav";"ODA";6;302;0;"ODA";"ODA";0;NA;NA;NA;NA;NA
"1998";"Kovandová Jiřina";"ODA";7;261;0;"ODA";"ODA";0;NA;NA;NA;NA;NA
"1998";"Štědronská Luďka";"ODA";8;330;0;"NK";"BEZPP";0;NA;NA;NA;NA;NA
"1998";"Sedlák Karel";"ODA";9;232;0;"ODA";"ODA";0;NA;NA;NA;NA;NA
"1998";"Linhartová Irena";"ODA";10;240;0;"NK";"BEZPP";0;NA;NA;NA;NA;NA
