"elections";"candidate";"list_name";"list_pos";"pref_votes";"elected";"nom_party";"pol_affil";"mayor";"dep_mayor";"board";"gov_support";"elig_voters";"ballots_cast"
"1994";"Bártová Ludmila";"Ludmila Bártová, NK";1;14;0;"NK";"BEZPP";NA;NA;NA;NA;31;25
"1994";"Andrle František";"František Andrle, NK";1;18;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Dána Jiří";"Jiří Dána, NK";1;15;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Šafránek František";"František Šafránek, NK";1;16;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Šimánek Miroslav";"Miroslav Šimánek, NK";1;5;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Honner Pavel";"Pavel Honner, NK";1;18;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Šimánek František";"František Šimánek, NK";1;4;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Dudák Jan";"Jan Dudák, NK";1;12;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Bárta Tomáš";"Tomáš Bárta, NK";1;16;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Anderle František";"SNK";1;13;1;"NK";"BEZPP";NA;NA;NA;NA;29;23
"1998";"Vorel Jaroslav";"SNK";2;11;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Honner Pavel";"SNK";3;12;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Dána Jiří";"SNK";4;15;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Brenkusová Marie";"SNK";5;10;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Dudák Jan";"SNK";6;14;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Šimánek Miroslav";"SNK";7;15;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Prokešová Marie";"Marie Prokešová, NK";1;9;0;"NK";"BEZPP";NA;NA;NA;NA;37;30
"2002";"Kropáček Jiří";"Jiří Kropáček, NK";1;18;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
