"elections";"candidate";"list_name";"list_pos";"pref_votes";"elected";"nom_party";"pol_affil";"mayor";"dep_mayor";"board";"gov_support";"elig_voters";"ballots_cast"
"1994";"Frejvald Jiří";"KSČM";1;568;1;"KSČM";"KSČM";0;0;0;0;3712;1978
"1994";"Váňo Josef";"KSČM";2;493;1;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Zenkl František";"KSČM";3;426;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Vrba František";"KSČM";4;486;1;"KSČM";"BEZPP";0;0;0;0;NA;NA
"1994";"Hejzák Karel";"KSČM";5;410;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Jarolímková Marie";"KSČM";6;443;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Kravárik František";"KSČM";7;415;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Švejnoha Lubomír";"KSČM";8;412;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Sedláková Anna";"KSČM";9;402;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Mileretová Jarmila";"KSČM";10;430;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Zima Josef";"KSČM";11;542;1;"KSČM";"BEZPP";0;0;0;0;NA;NA
"1994";"Svaljavčík Josef";"KSČM";12;421;0;"KSČM";"BEZPP";0;0;0;0;NA;NA
"1994";"Svoboda Zdeněk";"KSČM";13;348;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Novák Petr";"KSČM";14;394;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Drien Jan";"KSČM";15;366;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Michovský Jindřich";"KSČM";16;403;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Žejdl Jarolím";"KSČM";17;328;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Svarcr Jan";"KSČM";18;329;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Janout Jaroslav";"KSČM";19;359;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Aronová Daniela";"KSČM";20;493;1;"KSČM";"BEZPP";0;0;0;0;NA;NA
"1994";"Kadlec Otakar";"KSČM";21;323;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Müller Jaroslav";"ČSSD";1;576;0;"ČSSD";"ČSSD";0;0;0;0;NA;NA
"1994";"Matoušek Petr";"ČSSD";2;734;1;"ČSSD";"BEZPP";0;0;0;1;NA;NA
