"elections";"candidate";"list_name";"list_pos";"pref_votes";"elected";"nom_party";"pol_affil";"mayor";"dep_mayor";"board";"gov_support";"elig_voters";"ballots_cast"
"1998";"Mikeš Václav";"SNK 1";1;74;1;"NK";"BEZPP";0;0;0;1;179;106
"1998";"Holý Václav";"SNK 1";2;81;1;"NK";"BEZPP";1;0;0;1;NA;NA
"1998";"Říha Václav";"SNK 1";3;84;1;"NK";"BEZPP";0;1;0;1;NA;NA
"1998";"Jaroš Jaroslav (1)";"SNK 1";4;78;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1998";"Kubín František";"SNK 1";5;91;1;"NK";"BEZPP";0;0;0;1;NA;NA
"1998";"Nečasová Jiřina";"SNK 1";6;67;0;"NK";"BEZPP";0;0;0;0;NA;NA
"1998";"Bašta Vlastimil (1)";"SNK 2";1;64;1;"NK";"BEZPP";0;0;0;0;NA;NA
"1998";"Tůma Václav";"SNK 2";2;38;1;"NK";"BEZPP";0;0;0;0;NA;NA
"1998";"Bašta Jiří";"SNK 2";3;22;0;"NK";"BEZPP";0;0;0;0;NA;NA
"1998";"Syrovátka Miroslav";"SNK 2";4;21;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Bašta Vlastimil (1)";"Nezávislí kandáti";1;31;1;"NK";"BEZPP";0;0;0;1;185;121
"2002";"Sýkora Jan";"Nezávislí kandáti";2;41;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2002";"Bašta Josef (1)";"Nezávislí kandáti";3;56;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Nečas Josef";"Nezávislí kandáti";4;41;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Kutlák Marián";"Nezávislí kandáti";5;78;1;"NK";"BEZPP";1;0;0;1;NA;NA
"2002";"Kunágl Jaroslav";"Nezávislí kandáti";6;56;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Tůma Václav";"Nezávislí kandáti";7;70;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2002";"Bašta Bohuslav";"NK, Bohuslav Bašta";1;41;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Příhodová Miroslava";"SNK";1;58;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2002";"Čurda Josef";"SNK";2;76;1;"NK";"BEZPP";0;1;0;1;NA;NA
"2002";"Příhoda Josef";"SNK";3;39;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Příhoda František";"SNK";4;52;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Jaroš Jaroslav (1)";"SNK";5;70;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2002";"Florián Ludvík";"SNK";6;29;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Lavička Josef";"SNK";7;44;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Kutlák Marian";"Nezávislí kandidáti";1;99;1;"NK";"BEZPP";1;0;0;1;216;138
"2006";"Tůma Václav";"Nezávislí kandidáti";2;72;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2006";"Bašta Vlastimil (1)";"Nezávislí kandidáti";3;41;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2006";"Nečas Josef";"Nezávislí kandidáti";4;48;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2006";"Baštová Ivana";"Nezávislí kandidáti";5;63;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Sýkora Jan";"Nezávislí kandidáti";6;60;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Kunágl Jaroslav";"Nezávislí kandidáti";7;64;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Bašta Jiří";"Nez. Kand. Obce Kamenná";1;16;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Bašta Bohuslav";"Nez. Kand. Obce Kamenná";2;16;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Kubín František";"SNK";1;81;1;"NK";"BEZPP";0;1;0;1;NA;NA
"2006";"Příhodová Miroslava";"SNK";2;66;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2006";"Vacula Karel";"SNK";3;35;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Kalianko Petr";"SNK";4;54;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Jaroš Jaroslav (1)";"SNK";5;56;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Čurda Josef";"SNK";6;76;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2006";"Lavička Josef";"SNK";7;43;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Kutlák Marian";"Nezávislí kandidáti";1;88;1;"NK";"BEZPP";0;0;0;0;240;183
"2010";"Baštová Ivana";"Nezávislí kandidáti";2;60;1;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Tůma Václav";"Nezávislí kandidáti";3;59;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Kunágl Jaroslav";"Nezávislí kandidáti";4;64;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Sýkora Jan";"Nezávislí kandidáti";5;58;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Řebíček Martin";"Nezávislí kandidáti";6;63;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Syrovátka František";"Nezávislí kandidáti";7;75;1;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Bašta Josef (2)";"Nezávislí 1";1;43;1;"NK";"BEZPP";1;0;0;1;NA;NA
"2010";"Holá Vendula";"Nezávislí 1";2;33;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Lavičková Monika";"Nezávislí 1";3;30;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Smolen Jan";"Nezávislí 1";4;28;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Lenz Miroslav";"Nezávislí 1";5;15;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Nečas Josef";"Nezávislí 1";6;40;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Lavička Pavel";"Nezávislí 1";7;26;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Čurda Josef";"SNK";1;87;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2010";"Jaroš Jaroslav (1)";"SNK";2;76;1;"NK";"BEZPP";0;1;0;1;NA;NA
"2010";"Pavlík Libor";"SNK";3;31;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Vacula Karel";"SNK";4;65;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2010";"Kalianko Petr";"SNK";5;66;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2010";"Šnejdová Drahomíra";"SNK";6;30;0;"NK";"BEZPP";0;0;0;0;NA;NA
