"elections";"candidate";"list_name";"list_pos";"pref_votes";"elected";"nom_party";"pol_affil";"mayor";"dep_mayor";"board";"gov_support";"elig_voters";"ballots_cast"
"1994";"Kabil Petr";"ZS";1;122;1;"ZS";"ZS";NA;NA;NA;NA;231;168
"1994";"Šimáček Miloslav";"ZS";1;137;1;"ZS";"ZS";NA;NA;NA;NA;NA;NA
"1994";"Havlíková Marie";"ZS";1;112;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Buga Milan (1)";"ZS";1;95;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Svobodová Hana";"ZS";1;140;1;"ZS";"ZS";NA;NA;NA;NA;NA;NA
"1994";"Balko Jana";"ZS";1;118;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Lörincz Móric";"ZS";1;99;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Petrovský Jiří";"SPR-RSČ, SDČR";1;18;0;"SPR-RSČ";"SPR-RSČ";NA;NA;NA;NA;NA;NA
"1994";"Míková Helena";"SPR-RSČ, SDČR";1;3;0;"SPR-RSČ";"SPR-RSČ";NA;NA;NA;NA;NA;NA
"1994";"Pál Ladislav";"SPR-RSČ, SDČR";1;9;0;"SDČR";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Moudrý Jindřich";"SPR-RSČ, SDČR";1;41;0;"SDČR";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Míka Josef";"SPR-RSČ, SDČR";1;6;0;"SDČR";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Balko Karel (1)";"SPR-RSČ, SDČR";1;53;1;"SDČR";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Balko Milan";"SPR-RSČ, SDČR";1;52;0;"SDČR";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Tomaško Juraj";"Juraj Tomaško, NK";1;46;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Janoušková Eva";"Eva Janoušková, NK";1;19;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Prokop Jaroslav";"Jaroslav Prokop, NK";1;20;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Svobodová Hana";"SNK";1;77;1;"NK";"BEZPP";NA;NA;NA;NA;227;119
"1998";"Dušek Stanislav";"SNK";2;78;1;"NK";"KSČM";NA;NA;NA;NA;NA;NA
"1998";"Havlíková Marie";"SNK";3;64;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Balko Karel (1)";"SNK";4;77;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Kabil Rostislav";"SNK";5;37;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Janoušková Eva";"SNK";6;54;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Balko Jana";"SNK";7;63;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Mládková Pavlína";"Pavlína Mládková, NK";1;34;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Dušek Stanislav";"KSČM";1;97;1;"KSČM";"KSČM";0;1;0;1;237;141
"2002";"Balko Karel (1)";"KSČM";2;96;1;"KSČM";"BEZPP";0;0;0;1;NA;NA
"2002";"Blažejová Marta";"KSČM";3;78;1;"KSČM";"BEZPP";0;0;0;1;NA;NA
"2002";"Balko Jana";"KSČM";4;70;1;"KSČM";"BEZPP";1;0;0;1;NA;NA
"2002";"Kosobudová Dagmar";"KSČM";5;62;0;"KSČM";"BEZPP";0;0;0;0;NA;NA
"2002";"Jandová Lenka";"KSČM";6;45;0;"KSČM";"BEZPP";0;0;0;0;NA;NA
"2002";"Svobodová Hana";"Za obec krásnější";1;97;1;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Janoušková Eva";"Za obec krásnější";2;61;1;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Tóthová Ivana";"Za obec krásnější";3;51;1;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Vrba Miloslav";"Za obec krásnější";4;52;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Kolb Karel";"Za obec krásnější";5;48;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Wagneter Václav";"Za obec krásnější";6;52;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Krejča Petr";"Za obec krásnější";7;43;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Kolbová Zdeňka";"SNK II.";1;18;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Koucká Eva";"SNK II.";2;20;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Havlíková Kateřina";"SNK II.";3;34;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2002";"Míka Josef";"Josef Míka, NK";1;14;0;"NK";"BEZPP";0;0;0;0;NA;NA
"2006";"Balko Jana";"Pro Nebanice";1;84;1;"NK";"BEZPP";1;0;0;1;242;97
"2006";"Balko Karel (1)";"Pro Nebanice";2;73;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2006";"Janoušková Eva";"Pro Nebanice";3;64;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2006";"Lörincz Móric";"Pro Nebanice";4;63;1;"NK";"BEZPP";0;0;0;1;NA;NA
"2006";"Havlíková Kateřina";"Pro Nebanice";5;64;1;"NK";"BEZPP";0;1;0;1;NA;NA
