"elections";"candidate";"list_name";"list_pos";"pref_votes";"elected";"nom_party";"pol_affil";"mayor";"dep_mayor";"board";"gov_support";"elig_voters";"ballots_cast"
"1994";"Schneider Milan";"Milan Schneider, NK";1;56;0;"NK";"BEZPP";NA;NA;NA;NA;246;168
"1994";"Zuvač František";"František Zuvač, NK";1;51;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Jukl Jozef";"Jozef Jukl, NK";1;56;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Rauch Vladimír";"Vladimír Rauch, NK";1;89;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Metlička František";"SNK";1;80;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Volráb Ladislav";"SNK";2;26;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Nýber Josef (1)";"SNK";3;85;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Vejražka Jaroslav";"SNK";4;35;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Kvíčera Vladimír";"SNK";5;38;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Fořt Josef";"SNK";6;142;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Husáková Anna";"Anna Husáková, NK";1;84;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Husaříková Marie";"Marie Husaříková, NK";1;64;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Fischer Dieter";"Dieter Fischer, NK";1;13;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Putko Jozef";"Jozef Putko, NK";1;89;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Schöniger Manfred (1)";"Manfred Schöniger, NK";1;114;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Dibelková Iveta";"Iveta Dibelková, NK";1;17;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Zábrana František";"František Zábrana, NK";1;37;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
