"elections";"candidate";"list_name";"list_pos";"pref_votes";"elected";"nom_party";"pol_affil";"mayor";"dep_mayor";"board";"gov_support";"elig_voters";"ballots_cast"
"1994";"Baroch František";"František Baroch, NK";1;8;0;"NK";"BEZPP";NA;NA;NA;NA;181;166
"1994";"Brenner Václav";"Václav Brenner, NK";1;58;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Šplíchalová Vlasta";"Vlasta Šplíchalová, NK";1;40;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Bartůněk Jiří";"Jiří Bartůněk, NK";1;51;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Šmíd Václav";"Václav Šmíd, NK";1;52;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Přívratský Jiří";"Jiří Přívratský, NK";1;48;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Brtník Jaroslav";"Jaroslav Brtník, NK";1;47;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Rangl Jaroslav";"Jaroslav Rangl, NK";1;26;1;"NK";"BEZPP";NA;NA;NA;NA;89;36
"1998";"Bartůněk Jiří";"Jiří Bartůněk, NK";1;30;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Přívratský Jiří";"Jiří Přívratský, NK";1;30;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Brenner Václav";"Václav Brenner, NK";1;30;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Brtník Jaroslav";"Jaroslav Brtník, NK";1;28;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1998";"Šplíchalová Vlasta";"Vlasta Šplíchalová, NK";1;29;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Bartůněk Jiří";"Jiří Bartůněk, NK";1;23;1;"NK";"BEZPP";NA;NA;NA;NA;96;48
"2002";"Rangl Jaroslav";"Jaroslav Rangl, NK";1;20;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Brtník Jaroslav";"Jaroslav Brtník, NK";1;19;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Brenner Václav";"Ing. Václav Brenner, NK";1;31;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2002";"Přívratský Jiří";"Jiří Přívratský, NK";1;26;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2006";"Brenner Václav";"Ing. Václav Brenner, NK";1;49;1;"NK";"BEZPP";NA;NA;NA;NA;114;69
"2006";"Melník Ján";"Ján Melník, NK";1;23;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2006";"Formánek Jaroslav";"Jaroslav Formánek, NK";1;50;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2006";"Rangl Jaroslav";"Jaroslav Rangl, NK";1;43;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2006";"Bartůněk Jiří";"Jiří Bartůněk, NK";1;48;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2006";"Poslušný Ladislav";"Ladislav Poslušný, NK";1;43;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2009";"Brenner Václav";"SNK";1;50;1;"NK";"BEZPP";NA;NA;NA;NA;115;95
"2009";"Formánek Jaroslav";"SNK";2;55;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2009";"Rangl Jaroslav";"SNK";3;42;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2009";"Poslušný Ladislav";"SNK";4;46;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2009";"Šnorbert Vladimír";"SNK";5;47;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2009";"Oláh Viktor";"SNK";6;10;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2009";"Pavel Jiří";"Za Prameny bez dluhů";1;50;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2009";"Dvořáček Jiří";"Za Prameny bez dluhů";2;44;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2009";"Janošťáková Jaromíra";"Za Prameny bez dluhů";3;41;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2009";"Pagáč Josef";"Za Prameny bez dluhů";4;39;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2009";"Langer Miroslav";"Za Prameny bez dluhů";5;38;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2009";"Bartůněk Jiří";"Za Prameny bez dluhů";6;7;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2012";"Málková Michala";"Naše Prameny";1;30;1;"NK";"BEZPP";NA;NA;NA;NA;112;37
"2012";"Cholínská Lenka";"Naše Prameny";2;31;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2012";"Jeřábek Václav";"Naše Prameny";3;30;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2012";"Ceplecha Petr";"Naše Prameny";4;32;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2012";"Pagáč Josef";"Naše Prameny";5;33;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2014";"Málková Michala";"Společné Prameny";1;51;1;"NK";"BEZPP";NA;NA;NA;NA;105;79
"2014";"Pagáč Josef";"Společné Prameny";2;51;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2014";"Ceplecha Petr";"Společné Prameny";3;51;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2014";"Kratochvíl Antonín";"Společné Prameny";4;51;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2014";"Dolanský Petr";"Společné Prameny";5;51;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2014";"Jeřábek Václav";"Svobodné Prameny";1;25;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2014";"Třešňáková Kateřina";"Svobodné Prameny";2;26;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2014";"Dvořáček Jiří";"Svobodné Prameny";3;26;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2014";"Strejc Karel";"Svobodné Prameny";4;25;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2014";"Koryta Luděk";"Svobodné Prameny";5;25;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2015";"Málková Michala";"Společné Prameny";1;48;1;"NK";"BEZPP";NA;NA;NA;NA;103;84
"2015";"Kratochvíl Antonín";"Společné Prameny";2;46;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2015";"Kubíková Martina";"Společné Prameny";3;4;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2015";"Dolanský Petr";"Společné Prameny";4;48;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2015";"Šatrová Lenka";"Společné Prameny";5;47;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2015";"Pagáč Josef";"Společné Prameny";6;44;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2015";"Dittert Aleš";"Svobodné Prameny";1;36;1;"STAN";"BEZPP";NA;NA;NA;NA;NA;NA
"2015";"Lebl Jan";"Svobodné Prameny";2;36;1;"STAN";"BEZPP";NA;NA;NA;NA;NA;NA
"2015";"Šmídová Marta";"Svobodné Prameny";3;36;0;"STAN";"BEZPP";NA;NA;NA;NA;NA;NA
"2015";"Pavel Jiří";"Svobodné Prameny";4;37;0;"STAN";"BEZPP";NA;NA;NA;NA;NA;NA
"2015";"Cholínská Lenka";"Svobodné Prameny";5;36;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Šmídová Marta";"Česká pirátská strana";1;12;0;"Piráti";"Piráti";NA;NA;NA;NA;92;80
"2018.01";"Cholínská Lenka";"Česká pirátská strana";2;12;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Pavlová Ivana";"Česká pirátská strana";3;6;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Šplíchalová Vlasta";"Česká pirátská strana";4;6;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Fábik Jiří";"Česká pirátská strana";5;7;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Fábiková Anna";"Prameny šťastné a veselé";1;14;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Třešňáková Kateřina";"Prameny šťastné a veselé";2;12;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Pavel Martin";"Prameny šťastné a veselé";3;7;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Lebl Jan";"Prameny šťastné a veselé";4;7;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Málková Michala";"Společné Prameny";1;53;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Dolanský Petr";"Společné Prameny";2;48;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Šatrová Lenka";"Společné Prameny";3;49;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Pagáč Josef";"Společné Prameny";4;52;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Poslušný Ladislav";"Společné Prameny";5;53;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Dittert Aleš";"Svobodné Prameny";1;16;1;"STAN";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Pavel Jiří";"Svobodné Prameny";2;9;0;"STAN";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Jeřábek Václav";"Svobodné Prameny";3;10;0;"STAN";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Strejcová Monika";"Svobodné Prameny";4;10;0;"STAN";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.01";"Šmíd Václav";"Svobodné Prameny";5;9;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Málková Michala";"ANO 2011";1;54;1;"ANO";"ANO";NA;NA;NA;NA;96;83
"2018.10";"Dolanský Petr";"ANO 2011";2;57;1;"ANO";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Šatrová Lenka";"ANO 2011";3;52;1;"ANO";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Pagáč Josef";"ANO 2011";4;55;1;"ANO";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Poslušný Ladislav";"ANO 2011";5;56;1;"ANO";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Langerová Zuzana";"ANO 2011";6;52;1;"ANO";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Šatrová Iveta";"ANO 2011";7;55;0;"ANO";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Přerost Vlastimil";"ANO 2011";8;55;0;"ANO";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Bartůněk Jiří";"ANO 2011";9;55;0;"ANO";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Fábiková Anna";"Prameny šťastné a veselé";1;24;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Třešňáková Kateřina";"Prameny šťastné a veselé";2;28;1;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Pavlová Ivana";"Prameny šťastné a veselé";3;24;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"2018.10";"Pavel Martin";"Prameny šťastné a veselé";4;24;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
