"elections";"candidate";"list_name";"list_pos";"pref_votes";"elected";"nom_party";"pol_affil";"mayor";"dep_mayor";"board";"gov_support";"elig_voters";"ballots_cast"
"1994";"Kantor Ladislav";"ODA";1;438;0;"ODA";"ODA";NA;NA;NA;NA;4631;3181
"1994";"Tříska Petr";"ODA";2;897;1;"ODA";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Svoboda Miroslav";"ODA";3;590;1;"ODA";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Kinský Michal";"ODA";4;275;0;"ODA";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Vlček Svatopluk";"ODA";5;295;0;"ODA";"ODA";NA;NA;NA;NA;NA;NA
"1994";"Chrdlová Eva";"ODA";6;357;0;"ODA";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Čurda Stanislav";"ODA";7;256;0;"ODA";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Fučíková Iveta";"ODA";8;229;0;"ODA";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Záda Josef";"ODA";9;319;0;"ODA";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Vondrašová Marta";"ODA";10;232;0;"ODA";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Kopecký Martin";"ODA";11;215;0;"ODA";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Bilinská Kvitoslava";"ODA";12;217;0;"ODA";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Fučík Vladimír";"ODA";13;214;0;"ODA";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Jedlička František";"ODA";14;245;0;"ODA";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Dusil Miroslav";"ODA";15;250;0;"ODA";"ODA";NA;NA;NA;NA;NA;NA
"1994";"Pohl Petr";"SNK 1";1;308;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Tomišková Milena";"SNK 1";2;236;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Heřmanský Jan";"SNK 1";3;169;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Kovanda Vladimír";"SNK 1";4;292;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Pastyřík Miroslav";"SNK 1";5;227;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
"1994";"Křeček František";"SNK 1";6;254;0;"NK";"BEZPP";NA;NA;NA;NA;NA;NA
