"elections";"candidate";"list_name";"list_pos";"pref_votes";"elected";"nom_party";"pol_affil";"mayor";"dep_mayor";"board";"gov_support";"elig_voters";"ballots_cast"
"1994";"Fořtová Eva";"SPR-RSČ, SDČR";1;250;0;"SPR-RSČ";"SPR-RSČ";0;0;0;0;2018;1336
"1994";"Kovář Jan";"KSČM";1;652;1;"KSČM";"KSČM";1;0;1;1;NA;NA
"1994";"Knop Karel";"KSČM";2;648;1;"KSČM";"KSČM";0;0;1;1;NA;NA
"1994";"Adámková Jana";"KSČM";3;633;1;"KSČM";"KSČM";0;0;1;1;NA;NA
"1994";"Javůrek Jiří";"KSČM";4;603;1;"KSČM";"KSČM";0;0;0;1;NA;NA
"1994";"Vágner Vlastimil";"KSČM";5;575;1;"KSČM";"KSČM";0;1;1;1;NA;NA
"1994";"Přeučil Jiří";"KSČM";6;643;1;"KSČM";"KSČM";0;0;0;1;NA;NA
"1994";"Müller Miloslav";"KSČM";7;554;1;"KSČM";"KSČM";0;0;1;1;NA;NA
"1994";"Rytina Josef (1)";"KSČM";8;653;1;"KSČM";"KSČM";0;0;0;1;NA;NA
"1994";"Hoda Milan";"KSČM";9;566;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Fořtová Jaroslava";"KSČM";10;548;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Beluský Josef";"KSČM";11;607;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Janoušková Marcela";"KSČM";12;461;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Šulíková Alena";"KSČM";13;583;0;"KSČM";"BEZPP";0;0;0;0;NA;NA
"1994";"Modrych Otto";"KSČM";14;616;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Dlask Václav";"KSČM";15;468;0;"KSČM";"KSČM";0;0;0;0;NA;NA
"1994";"Voves Luboš";"ODS";1;516;1;"ODS";"ODS";0;0;0;0;NA;NA
"1994";"Greyerová Anna";"ODS";2;826;1;"NK";"BEZPP";0;0;0;0;NA;NA
"1994";"Sazeček Miroslav";"ODS";3;521;1;"NK";"BEZPP";0;0;0;0;NA;NA
"1994";"Votrubová Daniela";"ODS";4;635;1;"NK";"BEZPP";0;0;0;0;NA;NA
"1994";"Petrus Josef (1)";"ODS";5;602;1;"NK";"BEZPP";0;0;0;0;NA;NA
"1994";"Ziková Alma";"ODS";6;672;1;"NK";"BEZPP";0;0;0;0;NA;NA
"1994";"Čermáková Vlasta";"ODS";7;581;0;"NK";"BEZPP";0;0;0;0;NA;NA
"1994";"Vrchovský Zdeněk";"ODS";8;501;0;"NK";"BEZPP";0;0;0;0;NA;NA
"1994";"Turková Martina";"ODS";9;480;0;"NK";"BEZPP";0;0;0;0;NA;NA
"1994";"Noga Jaroslav";"ODS";10;526;0;"NK";"BEZPP";0;0;0;0;NA;NA
"1994";"Týř Antonín";"ODS";11;548;0;"NK";"BEZPP";0;0;0;0;NA;NA
"1994";"Kundrát Pavel";"ODS";12;665;1;"NK";"BEZPP";0;0;0;0;NA;NA
"1998";"Kovář Jan";"KSČM";1;453;1;"KSČM";"KSČM";0;0;0;NA;2081;1234
"1998";"Knop Karel";"KSČM";2;417;1;"KSČM";"KSČM";0;0;0;NA;NA;NA
"1998";"Šulíková Alena";"KSČM";3;354;1;"KSČM";"BEZPP";0;0;0;NA;NA;NA
"1998";"Hendrych Radek";"KSČM";4;319;0;"KSČM";"BEZPP";0;0;0;NA;NA;NA
"1998";"Červinková Jaroslava";"KSČM";5;346;0;"KSČM";"KSČM";0;0;0;NA;NA;NA
"1998";"Rytina Josef (1)";"KSČM";6;477;1;"KSČM";"KSČM";0;0;0;NA;NA;NA
"1998";"Janoušková Marcela";"KSČM";7;317;0;"KSČM";"KSČM";0;0;0;NA;NA;NA
"1998";"Fořtová Jaroslava";"KSČM";8;332;0;"KSČM";"KSČM";0;0;0;NA;NA;NA
"1998";"Javůrek Jiří";"KSČM";9;351;0;"KSČM";"KSČM";0;0;0;NA;NA;NA
"1998";"Záklasníková Ivana";"KSČM";10;288;0;"KSČM";"KSČM";0;0;0;NA;NA;NA
"1998";"Mordych Otto";"KSČM";11;531;1;"KSČM";"KSČM";0;0;0;NA;NA;NA
"1998";"Dvořák Bohumil";"KSČM";12;316;0;"KSČM";"KSČM";0;0;0;NA;NA;NA
"1998";"Augustin Petr (1)";"KSČM";13;297;0;"KSČM";"KSČM";0;0;0;NA;NA;NA
"1998";"Beluský Josef";"KSČM";14;347;0;"KSČM";"KSČM";0;0;0;NA;NA;NA
